source,HyDe,HyDe,Hybrid Search,Hybrid Search,Naive,Naive,Query Decomposition,Query Decomposition
,Occupations,Skills,Occupations,Skills,Occupations,Skills,Occupations,Skills
embedding_model,,,,,,,,
intfloat/e5-large-v2,5.0,7.0,6.0,7.0,7.0,7.0,3.0,3.0
mixedbread-ai/mxbai-embed-large-v1,1.0,10.0,5.0,5.0,6.0,6.0,6.0,2.0
text-embedding-3-large,7.0,8.0,6.0,6.0,6.0,8.0,5.0,8.0
text-embedding-3-small,6.0,7.0,6.0,8.0,10.0,9.0,10.0,5.0
