conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0533,fysiikka,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/0539,"fysikaaliset tieteet, muualle luokittelemattomat",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/054,matematiikka ja tilastotiede,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0540,"matematiikka ja tilastotiede, tarkemmin määrittämättömät",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0541,matematiikka,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0542,tilastotiede,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/058,"luonnontieteet, matematiikka ja tilastotiede, monialaiset koulutusohjelmat ja tutkinnot",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0588,"luonnontieteet, matematiikka ja tilastotiede, monialaiset koulutusohjelmat ja tutkinnot",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/059,"luonnontieteet, matematiikka ja tilastotiede, muualle luokittelemattomat",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0599,"luonnontieteet, matematiikka ja tilastotiede, muualle luokittelemattomat",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/06,tieto- ja viestintätekniikka (ict),,,released,2021-08-30T14:57:56.832Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/061,tieto- ja viestintätekniikka (ict),,,released,2021-08-30T14:53:01.939Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0610,"tieto- ja viestintätekniikka (ict), tarkemmin määrittämätön",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0611,tietotekniikan käyttö,,,released,2020-12-09T11:43:41.996Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/0612,tietokanta- ja verkkosuunnittelu ja -hallinta,,,released,2021-04-14T10:20:03.249Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0613,ohjelmisto- ja sovelluskehitys ja -analyysi,,,released,2021-04-06T14:39:29.928Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0619,"tieto- ja viestintätekniikka (ict), muualle luokittelematon",,,released,2021-08-30T14:57:47.87Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
