conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e832f8d8-d627-4b0d-b1a5-b52f3917bb63,skill/competence,transversal,ymmärtää kirjoitettua slovakkia,released,,Lukea ja ymmärtää slovakiksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,slovakki
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,knowledge,transversal,tamili,released,,Tamilin kieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ea4d26de-df11-464f-940f-d63f0f5848f1,skill/competence,transversal,viestiä suullisesti sardiksi,released,puhua sardia,Puhua sardia.,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,sardi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7,knowledge,transversal,kreikka,released,,Kreikan kieli. Kreikka on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eb19f00b-62c1-493b-bd75-1e90718ac04a,skill/competence,transversal,viestiä suullisesti bengaliksi,released,puhua bengalia,Puhua bengalia.,http://data.europa.eu/esco/skill/ede98e07-f07d-41bc-99b0-f88bf0dad438,bengali
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ec4855b5-84a5-4c59-812e-8e4319d7bf8d,skill/competence,transversal,kirjoittaa persiaa,released,,Kirjoittaa tekstejä persian kielellä.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,persia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ecb6d4ea-5693-453b-8c9a-d6c68589319a,skill/competence,transversal,ymmärtää puhuttua tšekkiä,released,,Ymmärtää puhuttua tšekkiä.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,tšekki
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ed1614dd-5a66-4a95-968f-a0d46ecdce92,skill/competence,transversal,kirjoittaa tamilia,released,,Kirjoittaa tekstejä tamilin kielellä.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,tamili
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/edd82d34-0ab5-45cb-9997-360e177ced27,skill/competence,transversal,viestiä suullisesti armeniaksi,released,puhua armeniaa,Puhua armeniaksi.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,armenia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ede98e07-f07d-41bc-99b0-f88bf0dad438,knowledge,transversal,bengali,released,,Bengalin kieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/efa7943e-28b8-4657-bccb-f04e86ba058b,skill/competence,transversal,kirjoittaa kurdia,released,,Kirjoittaa tekstejä kurdin kielellä.,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,kurdi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f018c29a-e837-4c4e-ac7c-aea212e0fc48,skill/competence,transversal,ymmärtää puhuttua urdua,released,,Ymmärtää puhuttua urdua.,http://data.europa.eu/esco/skill/bc546a09-1103-4184-b757-3508ef5f8490,urdu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f16e242e-a0e1-4d3a-b8bc-0fc6eca50354,skill/competence,transversal,kirjoittaa kazakkia,released,,Kirjoittaa tekstejä kazakin kielellä.,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,kazakki
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,knowledge,transversal,albania,released,,Albanian kieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f2d14962-e378-4df4-87ce-f1786df2b015,skill/competence,transversal,ymmärtää puhuttua valkovenäjää,released,,Ymmärtää puhuttua valkovenäjää.,http://data.europa.eu/esco/skill/6f55e44d-4494-4079-9b8d-01ac6912529e,valkovenäjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,knowledge,transversal,kazakki,released,,Kazakin kieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f3e9b964-0c2d-46c4-a895-8b3583054d69,knowledge,transversal,puola,released,,Puolan kieli. Puola on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f58e2088-08c5-4680-83a1-18ba01299d4c,skill/competence,transversal,viestiä suullisesti hepreaksi,released,puhua hepreaa,Puhua hepreaa.,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,heprea
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5e51369-45c6-42b1-8ccc-d1826112e555,skill/competence,transversal,ymmärtää puhuttua puolaa,released,,Ymmärtää puhuttua puolaa.,http://data.europa.eu/esco/skill/f3e9b964-0c2d-46c4-a895-8b3583054d69,puola
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f61a0a31-5b6b-4129-b5c2-99e10a5d7794,skill/competence,transversal,ymmärtää kirjoitettua kymriä,released,,Lukea ja ymmärtää kymriksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,kymri
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f739ca36-437c-4f87-83bb-7a1933768d26,skill/competence,transversal,ymmärtää kirjoitettua limburgia,released,,Lukea ja ymmärtää limburgiksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/cf5b3ca0-a844-42b9-b9cd-bd15465b9cac,limburgi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f7d66f52-6ea4-4ed4-a5b1-318c8eff6f47,skill/competence,transversal,viestiä suullisesti galiciaksi,released,puhua galiciaa,Puhua galiciaksi.,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,galicia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,knowledge,transversal,korea,released,,Korean kieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa8ee260-64dc-42db-a5c7-9d3b232767df,skill/competence,transversal,kirjoittaa puolaa,released,,Kirjoittaa tekstejä puolan kielellä.,http://data.europa.eu/esco/skill/f3e9b964-0c2d-46c4-a895-8b3583054d69,puola
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fb299aca-b999-4829-9a40-f8379ac006f4,skill/competence,transversal,viestiä suullisesti malaijiksi,released,puhua malaijia,Puhua malaijiksi.,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,malaiji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fbe75fa4-4f78-459b-858a-a30b29e7591e,skill/competence,transversal,ymmärtää puhuttua vallonia,released,,Ymmärtää puhuttua valloniaa.,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,valloni
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,knowledge,transversal,armenia,released,,Armenian kieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fcd4892f-486f-4e86-b78b-146a95c546a1,skill/competence,transversal,viestiä suullisesti kroaatiksi,released,puhua kroaattia,Puhua kroaatiksi.,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,kroaatti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff52e69a-8873-4827-b140-958dee5a62bb,skill/competence,transversal,ymmärtää puhuttua norjaa,released,,Ymmärtää puhuttua norjaa.,http://data.europa.eu/esco/skill/829f6eb5-0b26-4152-8eb3-82dd32b2b6f2,norja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff7f57d7-084b-4ec2-8e2d-2637b1ab3931,skill/competence,transversal,kirjoittaa oksitaania,released,kirjoittaa provensaalia,Kirjoittaa tekstejä oksitaanin kielellä.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,oksitaani
