conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c34a8faa-b543-45eb-b088-39baf21c5146,skill/competence,transversal,viestiä suullisesti urduksi,released,puhua urdua,Suullinen viestintä urduksi.,http://data.europa.eu/esco/skill/bc546a09-1103-4184-b757-3508ef5f8490,urdu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c445a2f0-9f97-432d-a1be-f2b54a53576e,skill/competence,transversal,ymmärtää puhuttua berberiä,released,,Puhutun berberin ymmärtäminen.,http://data.europa.eu/esco/skill/6f34bd05-1297-4913-92ff-85a604242b2f,berberi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c44b765b-76fb-4a16-be7e-9925beee072c,skill/competence,transversal,viestiä suullisesti hollanniksi,released,puhua hollantia,Suullinen viestintä hollanniksi.,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,hollanti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c551614f-5542-460e-9a86-bfcdf160e230,skill/competence,transversal,viestiä suullisesti teluguksi,released,puhua telugua,Viestiä suullisesti telugun kielellä.,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,telugu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,knowledge,transversal,serbia,released,,Serbian kieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c5ef5813-ef1d-4a22-8fce-16b1dcf93ea1,skill/competence,transversal,kirjoittaa valkovenäjää,released,,Laatia kirjallisia tekstejä valkovenäjäksi.,http://data.europa.eu/esco/skill/6f55e44d-4494-4079-9b8d-01ac6912529e,valkovenäjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c6b70785-fce7-4089-8250-21c97ca0ad8f,skill/competence,transversal,ymmärtää kirjoitettua viroa,released,ymmärtää kirjoitettua eestiä,Lukea ja ymmärtää viroksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,viro
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c73e355b-89c8-4831-968e-f146f2ae970c,skill/competence,transversal,kirjoittaa marathia,released,,Laatia kirjallisia tekstejä marathin kielellä.,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,marathi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c8c283af-3d77-4212-93ab-1b3de6a79e96,skill/competence,transversal,ymmärtää puhuttua romaniaa,released,,Ymmärtää romaniankielistä puhetta.,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,romania
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c8d2416e-7db3-4f63-bce3-075f1fea66ea,skill/competence,transversal,ymmärtää puhuttua islantia,released,,Ymmärtää islanninkielistä puhetta.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,islanti
